"id"|"first_name"|"last_name"|"address_1"|"suburb"|"state"|"postcode"|"policy_type"|"claim_date"|"claim_amount"
10003|"Brianna"|"Cummings"|"Ap #230-2213 Tincidunt Street"|"Benalla"|"VIC"|3671|"hail"|"06/25/2015"|$40,953.90
10015|"Ann"|"Rice"|"Ap #344-4322 Elit. Avenue"|"Perth"|"WA"|6000|"flood"|"09/18/2015"|$8,894.88
10027|"Hadley"|"Cline"|"P.O. Box 960, 432 Nulla St."|"Joondalup"|"WA"|6027|"fire"|"01/22/2015"|$15,398.85
10039|"Marah"|"Wiggins"|"254-5596 Magna Ave"|"Bairnsdale"|"VIC"|3875|"theft"|07/11/14|$12,535.24
10051|"Regan"|"Howe"|"698-1568 Id Road"|"Bundaberg"|"QLD"|4670|"mud"|06/05/14|$48,279.88
10063|"Cheryl"|"Galloway"|"542-1532 Phasellus Street"|"Liverpool"|"NSW"|1871|"mud"|06/01/14|$10,555.03
10075|"Amena"|"Daugherty"|"Ap #294-4681 Sed Street"|"Logan City BC"|"QLD"|4114|"breakage"|"04/25/2015"|$40,543.44
10087|"Raven"|"Mann"|"1328 Sit St."|"Gladstone"|"QLD"|4680|"fire"|"04/28/2016"|$17,232.60
10099|"Pascale"|"Cote"|"1882 Vitae, Rd."|"Bathurst"|"NSW"|2795|"flood"|07/04/14|$43,491.41
10111|"Cleo"|"Clarke"|"Ap #406-5751 Fringilla Rd."|"Cessnock"|"NSW"|2325|"theft"|08/04/14|$40,436.76
10123|"Gay"|"Cortez"|"347-5731 Praesent Av."|"Mount Isa"|"QLD"|4825|"breakage"|06/11/14|$19,991.62
10135|"Yuri"|"Hall"|"3946 Porttitor St."|"Melbourne"|"VIC"|3000|"mud"|"11/15/2014"|$16,111.48
10147|"Jamalia"|"Vincent"|"Ap #786-6150 Dictum Road"|"Logan City"|"QLD"|"#N/A"|"hail"|04/06/16|$43,966.49
10159|"Frances"|"Johnston"|"760-4797 Aliquam St."|"Broken Hill"|"NSW"|2880|"fire"|"09/23/2014"|$12,523.68
10171|"Madison"|"Erickson"|"Ap #174-3599 Phasellus Ave"|"Bundaberg"|"QLD"|4670|"theft"|11/09/14|$10,305.26
10183|"Eleanor"|"Quinn"|"P.O. Box 796, 6622 Diam St."|"Mandurah"|"WA"|6210|"theft"|"10/22/2014"|$12,059.09
10195|"Lenore"|"Hatfield"|"776-8422 Vitae, Rd."|"Townsville"|"QLD"|4810|"mud"|"10/23/2014"|$44,406.79
10207|"Keely"|"Houston"|"Ap #342-3717 Consectetuer Ave"|"Belmont"|"WA"|6104|"theft"|09/09/15|$46,045.12
10219|"Claire"|"Calhoun"|"1698 Fermentum Rd."|"Hamilton"|"VIC"|3300|"fire"|"07/18/2015"|$45,340.50
10231|"Hollee"|"Crawford"|"P.O. Box 723, 9444 Nec Avenue"|"Melton"|"VIC"|3337|"mud"|"01/18/2015"|$33,317.89
10243|"Callie"|"Rivers"|"Ap #972-3638 Rutrum, Avenue"|"Dubbo"|"NSW"|2830|"hail"|09/04/14|$28,300.36
10255|"Phyllis"|"Patel"|"Ap #366-8529 Iaculis Road"|"Bendigo"|"VIC"|3550|"flood"|04/08/16|$8,741.56
10267|"Tallulah"|"Gamble"|"6062 Et St."|"Dubbo"|"NSW"|2830|"fire"|12/02/14|$45,728.91
10279|"Jolie"|"Casey"|"7957 Varius Rd."|"Melton"|"VIC"|3337|"theft"|"08/25/2014"|$33,884.55
10291|"Haley"|"Fields"|"Ap #194-4380 Inceptos Rd."|"Wagga Wagga"|"NSW"|2650|"mud"|"12/28/2014"|$3,134.43
10303|"Sierra"|"Roberson"|"9572 Mi St."|"Wanneroo"|"WA"|6065|"flood"|"02/14/2015"|$14,866.35
10315|"Maris"|"Norris"|"Ap #271-7700 Risus. Street"|"Bendigo"|"VIC"|3550|"hail"|06/04/15|$36,018.71
10327|"Erica"|"Workman"|"Ap #497-3487 Molestie Ave"|"Warrnambool"|"VIC"|3280|"hail"|"10/22/2014"|$41,945.62
10339|"Aurelia"|"Vasquez"|"Ap #390-3591 Tristique St."|"Horsham"|"VIC"|3400|"hail"|"07/14/2015"|$37,988.64
10351|"Teagan"|"Bryant"|"2693 Nec Rd."|"Frankston"|"VIC"|3199|"hail"|"03/27/2016"|$43,181.11
10363|"Remedios"|"Burris"|"317-3807 Metus Rd."|"Sale"|"VIC"|3850|"breakage"|"11/25/2014"|$25,990.29
10375|"Dorothy"|"Goodman"|"P.O. Box 776, 8259 Sem. Street"|"Wanneroo"|"WA"|6065|"flood"|"02/28/2015"|$19,143.43
10387|"Mollie"|"Singleton"|"497-4155 Phasellus St."|"Ipswich"|"QLD"|4305|"flood"|"11/30/2015"|$13,720.78
10399|"Ursula"|"Hobbs"|"P.O. Box 641, 5555 At Rd."|"Morwell"|"VIC"|3840|"flood"|"01/29/2015"|$43,178.39
10411|"Ina"|"Bailey"|"200-8450 Fames Ave"|"Orange"|"NSW"|2800|"mud"|"09/13/2014"|$28,651.04
10423|"Kyra"|"Whitney"|"Ap #148-1955 Cras St."|"Dubbo"|"NSW"|2830|"breakage"|"07/24/2015"|$37,626.32
10435|"Yvonne"|"Sargent"|"804-5733 Tempor, St."|"Canning"|"WA"|"#N/A"|"hail"|10/04/15|$28,784.73
10447|"Haviva"|"Sexton"|"Ap #964-3206 Sed Ave"|"Grafton"|"NSW"|2460|"hail"|10/10/14|$22,927.29
10459|"Jane"|"Bullock"|"702-5825 In Ave"|"Moe"|"VIC"|3825|"fire"|"10/18/2015"|$2,001.29
10471|"Megan"|"Jarvis"|"Ap #335-2856 Tincidunt St."|"Sydney"|"NSW"|1001|"breakage"|"05/15/2014"|$37,984.90
10483|"Clementine"|"Yang"|"P.O. Box 795, 4047 Vestibulum. St."|"Goulburn"|"NSW"|2580|"theft"|"11/16/2015"|$20,089.53
10495|"Inga"|"Roberson"|"948-2087 Lobortis Road"|"Toowoomba"|"QLD"|4350|"breakage"|"08/21/2014"|$12,994.69
10507|"Glenna"|"Fleming"|"520-4307 Nullam Street"|"Logan City"|"QLD"|"#N/A"|"breakage"|"06/27/2014"|$12,074.98
10519|"Quemby"|"Hyde"|"Ap #299-9628 Nulla Road"|"Wangaratta"|"VIC"|3676|"hail"|09/11/15|$15,069.97
10531|"Brenda"|"England"|"8399 Sed Av."|"Victor Harbor"|"SA"|5211|"breakage"|"09/30/2015"|$34,343.17
10543|"Medge"|"Mcleod"|"1354 Gravida Avenue"|"Blue Mountains"|"NSW"|"#N/A"|"fire"|"11/19/2015"|$30,242.28
10555|"Blair"|"Henderson"|"875-8619 Proin St."|"Cessnock"|"NSW"|2325|"breakage"|"12/17/2015"|$38,589.70
10567|"Meredith"|"Peters"|"Ap #681-9285 Nisl Road"|"Bathurst"|"NSW"|2795|"hail"|05/03/15|$34,952.56
10579|"Portia"|"Shepherd"|"Ap #594-2299 Urna Rd."|"Caloundra"|"QLD"|4551|"hail"|"01/21/2016"|$43,476.85
10591|"Kylan"|"Cannon"|"P.O. Box 630, 577 Massa. Av."|"Liverpool"|"NSW"|1871|"breakage"|09/10/15|$8,200.49
10603|"Belle"|"Mooney"|"9491 Fermentum Road"|"Warrnambool"|"VIC"|3280|"mud"|08/12/14|$49,435.02
10615|"Guinevere"|"Gilliam"|"4872 Dapibus Av."|"Gold Coast"|"QLD"|"#N/A"|"breakage"|"05/22/2015"|$43,061.38
10627|"Bertha"|"Deleon"|"P.O. Box 347, 8353 Vitae, Road"|"Campbelltown"|"NSW"|2560|"flood"|"10/27/2015"|$45,611.32
10639|"Anne"|"Oliver"|"P.O. Box 933, 9614 Mus. Rd."|"Wangaratta"|"VIC"|3676|"hail"|03/12/15|$48,899.40
10651|"Mollie"|"Holmes"|"9193 Mauris Av."|"Cairns"|"QLD"|4870|"hail"|"07/28/2015"|$35,451.60
10663|"Dorothy"|"Tucker"|"966-1032 Malesuada Av."|"Broken Hill"|"NSW"|2880|"theft"|"12/21/2014"|$32,125.47
10675|"Aiko"|"Mullins"|"333-4716 Pharetra. Rd."|"Swan Hill"|"VIC"|3585|"flood"|12/07/14|$38,407.16
10687|"Sigourney"|"Skinner"|"Ap #187-9955 Pretium St."|"Horsham"|"VIC"|3400|"mud"|01/01/15|$1,817.95
10699|"Ruby"|"Moss"|"727-8425 Lorem Ave"|"Tamworth"|"NSW"|2340|"mud"|"12/28/2014"|$17,751.20
